target,crim,chas,zn,nox,indus,black,rad,ptratio,lstat,rm,dis,tax,age
24.0,0.00632,0,18.0,0.5379999999999999,2.31,396.9,1,15.3,4.98,6.575,4.09,296,65.2
21.6,0.02731,0,0.0,0.469,7.07,396.9,2,17.8,9.14,6.421,4.9671,242,78.9
33.4,0.032369999999999996,0,0.0,0.45799999999999996,2.18,394.63,3,18.7,2.94,6.997999999999999,6.0622,222,45.8
36.2,0.06905,0,0.0,0.45799999999999996,2.18,396.9,3,18.7,5.33,7.147,6.0622,222,54.2
22.9,0.08829,0,12.5,0.524,7.87,395.6,5,15.2,12.43,6.0120000000000005,5.5605,311,66.6
15.0,0.22489,0,12.5,0.524,7.87,392.52,5,15.2,20.45,6.377000000000001,6.3467,311,94.3
18.9,0.11747,0,12.5,0.524,7.87,396.9,5,15.2,13.27,6.0089999999999995,6.2267,311,82.9
21.7,0.09378,0,12.5,0.524,7.87,390.5,5,15.2,15.71,5.888999999999999,5.4509,311,39.0
20.4,0.62976,0,0.0,0.5379999999999999,8.14,396.9,4,21.0,8.26,5.949,4.7075,307,61.8
18.2,0.6379600000000001,0,0.0,0.5379999999999999,8.14,380.02,4,21.0,10.26,6.096,4.4619,307,84.5
19.9,0.62739,0,0.0,0.5379999999999999,8.14,395.62,4,21.0,8.47,5.834,4.4986,307,56.5
23.1,1.05393,0,0.0,0.5379999999999999,8.14,386.85,4,21.0,6.58,5.935,4.4986,307,29.3
20.2,0.80271,0,0.0,0.5379999999999999,8.14,288.99,4,21.0,11.69,5.456,3.7965,307,36.6
13.6,1.25179,0,0.0,0.5379999999999999,8.14,376.57,4,21.0,21.02,5.57,3.7979,307,98.1
19.6,0.8520399999999999,0,0.0,0.5379999999999999,8.14,392.53,4,21.0,13.83,5.965,4.0123,307,89.2
15.2,1.2324700000000002,0,0.0,0.5379999999999999,8.14,396.9,4,21.0,18.72,6.142,3.9769,307,91.7
14.5,0.9884299999999999,0,0.0,0.5379999999999999,8.14,394.54,4,21.0,19.88,5.813,4.0952,307,100.0
14.8,0.9557700000000001,0,0.0,0.5379999999999999,8.14,306.38,4,21.0,17.28,6.047000000000001,4.4534,307,88.8
12.7,1.13081,0,0.0,0.5379999999999999,8.14,360.17,4,21.0,22.6,5.712999999999999,4.2330000000000005,307,94.1
14.5,1.3547200000000001,0,0.0,0.5379999999999999,8.14,376.73,4,21.0,13.04,6.072,4.175,307,100.0
13.5,1.6128200000000001,0,0.0,0.5379999999999999,8.14,248.31,4,21.0,20.34,6.096,3.7598,307,96.9
24.7,0.17505,0,0.0,0.499,5.96,393.43,5,19.2,10.13,5.966,3.8473,279,30.2
30.8,0.027630000000000002,0,75.0,0.428,2.95,395.63,3,18.3,4.32,6.595,5.4011,252,21.8
34.9,0.033589999999999995,0,75.0,0.428,2.95,395.62,3,18.3,1.98,7.024,5.4011,252,15.8
25.3,0.1415,0,0.0,0.44799999999999995,6.91,383.37,3,17.9,5.81,6.169,5.7209,233,6.6
24.7,0.15936,0,0.0,0.44799999999999995,6.91,394.46,3,17.9,7.44,6.211,5.7209,233,6.5
21.2,0.12269000000000001,0,0.0,0.44799999999999995,6.91,389.39,3,17.9,9.55,6.069,5.7209,233,40.0
19.3,0.17142000000000002,0,0.0,0.44799999999999995,6.91,396.9,3,17.9,10.21,5.682,5.1004,233,33.8
20.0,0.18836,0,0.0,0.44799999999999995,6.91,396.9,3,17.9,14.15,5.7860000000000005,5.1004,233,33.3
16.6,0.22926999999999997,0,0.0,0.44799999999999995,6.91,392.74,3,17.9,18.8,6.03,5.6894,233,85.5
19.4,0.21977,0,0.0,0.44799999999999995,6.91,396.9,3,17.9,16.2,5.602,6.0877,233,62.0
19.7,0.08872999999999999,0,21.0,0.439,5.64,395.56,4,16.8,13.45,5.962999999999999,6.8147,243,45.7
20.5,0.04337,0,21.0,0.439,5.64,393.97,4,16.8,9.43,6.115,6.8147,243,63.0
23.4,0.04981,0,21.0,0.439,5.64,396.9,4,16.8,8.43,5.997999999999999,6.8147,243,21.4
18.9,0.0136,0,75.0,0.41,4.0,396.9,3,21.1,14.8,5.888,7.3197,469,47.6
35.4,0.01311,0,90.0,0.40299999999999997,1.22,395.93,5,17.9,4.81,7.249,8.6966,226,21.9
24.7,0.02055,0,85.0,0.41,0.74,396.9,2,17.3,5.77,6.382999999999999,9.1876,313,35.7
31.6,0.01432,0,100.0,0.41100000000000003,1.32,392.9,5,15.1,3.95,6.816,8.3248,256,40.5
